TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
ClosingPayout                                                                                                                    PayoutId                                                                                                                         int                                                                                                                             
ClosingPayout                                                                                                                    SalonId                                                                                                                          int                                                                                                                             
ClosingPayout                                                                                                                    SalonName                                                                                                                        nvarchar                                                                                                                        
ClosingPayout                                                                                                                    StaffId                                                                                                                          int                                                                                                                             
ClosingPayout                                                                                                                    StaffName                                                                                                                        nvarchar                                                                                                                        
ClosingPayout                                                                                                                    DateFrom                                                                                                                         date                                                                                                                            
ClosingPayout                                                                                                                    DateTo                                                                                                                           date                                                                                                                            
ClosingPayout                                                                                                                    StaffCollection                                                                                                                  decimal                                                                                                                         
ClosingPayout                                                                                                                    TotalSalonCollection                                                                                                             decimal                                                                                                                         
ClosingPayout                                                                                                                    CollectionPercent                                                                                                                decimal                                                                                                                         
ClosingPayout                                                                                                                    TotalSalonExpense                                                                                                                decimal                                                                                                                         
ClosingPayout                                                                                                                    ExpenseShare                                                                                                                     decimal                                                                                                                         
ClosingPayout                                                                                                                    NetRevenue                                                                                                                       decimal                                                                                                                         
ClosingPayout                                                                                                                    StaffProfitPercent                                                                                                               decimal                                                                                                                         
ClosingPayout                                                                                                                    StaffProfit                                                                                                                      decimal                                                                                                                         
ClosingPayout                                                                                                                    CompanyRevenue                                                                                                                   decimal                                                                                                                         
ClosingPayout                                                                                                                    Status                                                                                                                           nvarchar                                                                                                                        
ClosingPayout                                                                                                                    IsDeleted                                                                                                                        bit                                                                                                                             
ClosingPayout                                                                                                                    AddedBy                                                                                                                          nvarchar                                                                                                                        
ClosingPayout                                                                                                                    CreatedAt                                                                                                                        datetime                                                                                                                        
ClosingPayout                                                                                                                    UpdatedAt                                                                                                                        datetime                                                                                                                        
CompanyExpensePosting                                                                                                            Id                                                                                                                               int                                                                                                                             
CompanyExpensePosting                                                                                                            Date                                                                                                                             date                                                                                                                            
CompanyExpensePosting                                                                                                            Type                                                                                                                             nvarchar                                                                                                                        
CompanyExpensePosting                                                                                                            RecipientName                                                                                                                    nvarchar                                                                                                                        
CompanyExpensePosting                                                                                                            Head                                                                                                                             nvarchar                                                                                                                        
CompanyExpensePosting                                                                                                            Amount                                                                                                                           decimal                                                                                                                         
CompanyExpensePosting                                                                                                            Mode                                                                                                                             nvarchar                                                                                                                        
CompanyExpensePosting                                                                                                            SalonId                                                                                                                          int                                                                                                                             
CompanyExpensePosting                                                                                                            Description                                                                                                                      nvarchar                                                                                                                        
CompanyExpensePosting                                                                                                            Status                                                                                                                           nvarchar                                                                                                                        
CompanyExpensePosting                                                                                                            IsDeleted                                                                                                                        bit                                                                                                                             
CompanyExpensePosting                                                                                                            AddedBy                                                                                                                          nvarchar                                                                                                                        
CompanyExpensePosting                                                                                                            UpdatedBy                                                                                                                        nvarchar                                                                                                                        
CompanyExpensePosting                                                                                                            CreatedAt                                                                                                                        datetime                                                                                                                        
CompanyExpensePosting                                                                                                            UpdatedAt                                                                                                                        datetime                                                                                                                        
CompanyExpensePosting                                                                                                            RecipientId                                                                                                                      int                                                                                                                             
SalonStaffAssign                                                                                                                 AssignId                                                                                                                         int                                                                                                                             
SalonStaffAssign                                                                                                                 SalonId                                                                                                                          int                                                                                                                             
SalonStaffAssign                                                                                                                 StaffId                                                                                                                          int                                                                                                                             
SalonStaffAssign                                                                                                                 Percentage                                                                                                                       decimal                                                                                                                         
SalonStaffAssign                                                                                                                 Description                                                                                                                      nvarchar                                                                                                                        
SalonStaffAssign                                                                                                                 Status                                                                                                                           nvarchar                                                                                                                        
SalonStaffAssign                                                                                                                 IsDeleted                                                                                                                        bit                                                                                                                             
SalonStaffAssign                                                                                                                 AddedBy                                                                                                                          nvarchar                                                                                                                        
SalonStaffAssign                                                                                                                 UpdatedBy                                                                                                                        nvarchar                                                                                                                        
SalonStaffAssign                                                                                                                 CreatedAt                                                                                                                        datetime                                                                                                                        
SalonStaffAssign                                                                                                                 UpdatedAt                                                                                                                        datetime                                                                                                                        
Staff                                                                                                                            Id                                                                                                                               int                                                                                                                             
Staff                                                                                                                            StaffId                                                                                                                          nvarchar                                                                                                                        
Staff                                                                                                                            Name                                                                                                                             nvarchar                                                                                                                        
Staff                                                                                                                            Role                                                                                                                             nvarchar                                                                                                                        
Staff                                                                                                                            Contact                                                                                                                          nvarchar                                                                                                                        
Staff                                                                                                                            Email                                                                                                                            nvarchar                                                                                                                        
Staff                                                                                                                            Address                                                                                                                          nvarchar                                                                                                                        
Staff                                                                                                                            Username                                                                                                                         nvarchar                                                                                                                        
Staff                                                                                                                            Password                                                                                                                         nvarchar                                                                                                                        
Staff                                                                                                                            LoginAccess                                                                                                                      nvarchar                                                                                                                        
Staff                                                                                                                            Status                                                                                                                           nvarchar                                                                                                                        
Staff                                                                                                                            Remarks                                                                                                                          nvarchar                                                                                                                        
Staff                                                                                                                            CreatedAt                                                                                                                        datetime2                                                                                                                       
Staff                                                                                                                            UpdatedAt                                                                                                                        datetime2                                                                                                                       
Staff                                                                                                                            Designation                                                                                                                      nvarchar                                                                                                                        
Staff                                                                                                                            EmiratesId                                                                                                                       nvarchar                                                                                                                        
Staff                                                                                                                            PassportNo                                                                                                                       nvarchar                                                                                                                        
Staff                                                                                                                            Nationality                                                                                                                      nvarchar                                                                                                                        
Staff                                                                                                                            JobTitle                                                                                                                         nvarchar                                                                                                                        
Staff                                                                                                                            MoveInDate                                                                                                                       date                                                                                                                            
Staff                                                                                                                            VisaExpiry                                                                                                                       date                                                                                                                            
Staff                                                                                                                            EmiratesIdIssueDate                                                                                                              date                                                                                                                            
Staff                                                                                                                            EmiratesIdExpiryDate                                                                                                             date                                                                                                                            
Staff                                                                                                                            PassportIssueDate                                                                                                                date                                                                                                                            
Staff                                                                                                                            PassportExpiryDate                                                                                                               date                                                                                                                            
Staff                                                                                                                            LabourCardIssueDate                                                                                                              date                                                                                                                            
Staff                                                                                                                            LabourCardExpiryDate                                                                                                             date                                                                                                                            
Staff                                                                                                                            IloeIssueDate                                                                                                                    date                                                                                                                            
Staff                                                                                                                            IloeExpiryDate                                                                                                                   date                                                                                                                            
Staff                                                                                                                            InsuranceIssueDate                                                                                                               date                                                                                                                            
Staff                                                                                                                            InsuranceExpiryDate                                                                                                              date                                                                                                                            
Staff                                                                                                                            EmiratesIdDocument                                                                                                               nvarchar                                                                                                                        
Staff                                                                                                                            PassportDocument                                                                                                                 nvarchar                                                                                                                        
Staff                                                                                                                            LabourCardDocument                                                                                                               nvarchar                                                                                                                        
Staff                                                                                                                            IloeDocument                                                                                                                     nvarchar                                                                                                                        
Staff                                                                                                                            InsuranceDocument                                                                                                                nvarchar                                                                                                                        
Staff                                                                                                                            AddedBy                                                                                                                          int                                                                                                                             
Staff                                                                                                                            UpdatedBy                                                                                                                        int                                                                                                                             
Staff                                                                                                                            DeletedBy                                                                                                                        int                                                                                                                             
Staff                                                                                                                            IsDeleted                                                                                                                        bit                                                                                                                             
Staff                                                                                                                            CompanyId                                                                                                                        int                                                                                                                             
Staff                                                                                                                            LabourCardNo                                                                                                                     nvarchar                                                                                                                        
Staff                                                                                                                            DateOfBirth                                                                                                                      datetime2                                                                                                                       
Staff                                                                                                                            FitnessExpireDM                                                                                                                  datetime2                                                                                                                       
Staff                                                                                                                            IloeNo                                                                                                                           nvarchar                                                                                                                        
Staff                                                                                                                            InsuranceNo                                                                                                                      nvarchar                                                                                                                        

(94 rows affected)
