COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
-------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
Id                                                                                                                               int                                                                                                                             
Name                                                                                                                             nvarchar                                                                                                                        
Address                                                                                                                          nvarchar                                                                                                                        
Contact                                                                                                                          nvarchar                                                                                                                        
Description                                                                                                                      nvarchar                                                                                                                        
ThumbnailImage                                                                                                                   nvarchar                                                                                                                        
Status                                                                                                                           nvarchar                                                                                                                        
IsDeleted                                                                                                                        bit                                                                                                                             
AddedBy                                                                                                                          nvarchar                                                                                                                        
UpdatedBy                                                                                                                        nvarchar                                                                                                                        
CreatedAt                                                                                                                        datetime                                                                                                                        
UpdatedAt                                                                                                                        datetime                                                                                                                        

(12 rows affected)
