COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
-------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
CollectionId                                                                                                                     int                                                                                                                             
Date                                                                                                                             date                                                                                                                            
SalonId                                                                                                                          int                                                                                                                             
StaffId                                                                                                                          int                                                                                                                             
HeadId                                                                                                                           int                                                                                                                             
Mode                                                                                                                             nvarchar                                                                                                                        
Amount                                                                                                                           decimal                                                                                                                         
Description                                                                                                                      nvarchar                                                                                                                        
Status                                                                                                                           nvarchar                                                                                                                        
IsDeleted                                                                                                                        bit                                                                                                                             
AddedBy                                                                                                                          nvarchar                                                                                                                        
UpdatedBy                                                                                                                        nvarchar                                                                                                                        
CreatedAt                                                                                                                        datetime                                                                                                                        
UpdatedAt                                                                                                                        datetime                                                                                                                        

(14 rows affected)
